villiager_name,birthday (y / m / d),prefered_style,perfered_color
Admiral,2001-01-27,Modern,Black
Becky,2001-12-09,Ornate,Purple
Bianca,2001-12-13,Modern,White
Chadder,2001-12-15,Official,Yellow
Charlise,2001-04-17,Sporty,Orange
Cleo,2001-02-09,Cute,White
Cousteau,2001-12-17,Iconic,Red
Cube,2001-01-29,Cute,Colorful
Cyrano,2001-03-09,Iconic,Yellow
Daisy,2001-11-16,Basic,Brown
Elise,2001-03-21,Official,Colorful
Eloise,2001-12-08,Official,Green
Ã‰toile,2001-12-25,Cute,Pink
Fang,2001-12-18,Official,Beige
Flora,2001-02-09,Modern,Pink
Flurry,2001-01-30,Iconic,Beige
Freya,2001-12-14,Rock 'n' Roll,Black
Gabi,2001-12-16,Ornate,Brown
Hopkins,2001-03-11,Sporty,Yellow
Hopper,2001-04-06,Rock 'n' Roll,Yellow
Hornsby,2001-03-20,Basic,Brown
Hugh,2001-12-30,Modern,Blue
Knox,2001-11-23,Iconic,Brown
Lucha,2001-12-12,Sporty,Red
Maelle,2001-04-08,Modern,White
Mallary,2001-11-17,Modern,Brown
Marcel,2001-12-31,Iconic,Green
Marty,2001-04-16,Sporty,Yellow
Medli,2001-12-13,Iconic,White
Merengue,2001-03-19,Official,Beige
Midge,2001-03-12,Iconic,Pink
Miranda,2001-04-23,Ornate,Yellow
Monty,2001-12-07,Iconic,Blue
Murphy,2001-12-29,Basic,White
Paula,2001-03-22,Flashy,Orange
Peaches,2001-11-28,Cute,Pink
Phoebe,2001-04-22,Ornate,Yellow
Rasher,2001-04-07,Rock 'n' Roll,Black
Rhonda,2001-01-24,Ornate,White
Rocket,2001-04-14,Sporty,Pink
Ruby,2001-12-25,Modern,Yellow
Savannah,2001-01-25,Modern,Gray
Sterling,2001-12-11,Historical,Blue
Tom,2001-12-10,Rock 'n' Roll,Brown
Vesta,2001-04-16,Historical,Orange
Vic,2001-12-29,Historical,Aqua
Winnie,2001-01-31,Modern,Colorful
Wolf Link,2001-12-02,Iconic,Green
Wolfgang,2001-11-25,Modern,Black
Zucker,2001-03-08,Official,Yellow